Year,Month,Day,Temperature (° C),,,Dew Point (° C),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,
,,,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
2019,Oct,1,33,28.2,24,22,21.3,20,89,67.6,46,22,9.3,2,1011.3,1009,1006.3
2019,Oct,2,32,28.1,25,24,23.6,23,89,77.3,62,19,11.2,7,1011.3,,-
2019,Oct,3,28,25.6,22,25,23.1,21,100,86.3,74,20,8.7,2,1012.3,1010.1,1008.3
2019,Oct,4,29,25.6,23,26,23.6,21,94,88.9,74,17,7.1,4,1012.3,1009.9,1007.3
2019,Oct,5,32,27.2,23,25,22.9,21,94,78.5,58,17,7.3,0,1013.3,1011.2,1009.3
2019,Oct,6,33,28.3,24,24,22.5,20,94,72.4,49,13,6.8,2,1015.3,1012.5,1010.3
2019,Oct,7,33,26.8,23,24,22.5,21,94,78.6,49,30,7.1,0,1014.3,1012.6,1010.3
2019,Oct,8,27,25.8,24,24,23.3,22,94,86.5,78,17,6.6,2,1016.3,1014.2,1012.3
2019,Oct,9,27,24.7,22,24,22.8,21,100,89.5,79,19,8.2,2,1015.3,1013.1,1010.3
2019,Oct,10,33,27.4,24,25,23.3,21,100,79.7,52,22,9.4,2,1014.3,1011.4,1008.3
2019,Oct,11,33,28.5,24,25,23.5,22,94,76.1,52,19,12.5,7,1012.3,1010.3,1007.3
2019,Oct,12,33,27.9,25,25,23.8,22,94,79.4,52,24,11.8,7,1012.3,1010.4,1007.3
2019,Oct,13,31,27.1,25,24,22.9,21,94,78.5,58,22,11.2,4,1015.3,1012.9,1011.3
2019,Oct,14,30,26.7,24,23,21.7,20,94,74.6,62,19,11.2,4,1018.3,1016.5,1014.3
2019,Oct,15,28,25.5,24,22,20.5,20,89,74.1,62,17,10.6,4,1020.3,1017.7,1016.3
2019,Oct,16,30,26.3,24,23,21.7,20,94,76.6,58,13,7,2,1019.3,1016.6,1014.3
2019,Oct,17,30,25.8,23,24,22.4,21,100,82.2,62,19,6.7,0,1018.3,1016,1013.3
2019,Oct,18,27,23.8,22,22,19,17,89,75,58,26,13,4,1020.3,1017.4,1016.3
2019,Oct,19,31,25.1,21,21,18.9,17,94,70,45,13,7,2,1019.3,1016.7,1014.3
2019,Oct,20,31,26.3,22,22,20.9,20,94,73.2,52,17,6.7,0,1017.3,1014.9,1012.3
2019,Oct,21,31,26.6,24,24,22.6,21,94,79.4,58,19,9.3,2,1014.3,1011.6,1008.3
2019,Oct,22,32,27.7,24,24,22.7,21,94,75.3,52,20,14.1,7,1010.3,1008,1004.3
2019,Oct,23,32,28.3,25,25,24,21,89,78,62,24,15.1,9,1011.3,1007.7,1005.3
2019,Oct,24,25,22.7,21,21,19.8,19,94,83.8,74,20,13.2,7,1015.3,1013.3,1010.3
2019,Oct,25,26,23.6,22,23,20.4,19,94,82.5,73,11,7.1,2,1017.3,1015.1,1013.3
2019,Oct,26,30,25.6,23,23,22.3,21,100,82.4,62,11,5.7,0,1017.3,1014.9,1013.3
2019,Oct,27,31,26.2,24,23,22.7,22,94,81.3,62,20,9.1,4,1015.3,1013.1,1010.3
2019,Oct,28,25,21.6,19,23,19.7,16,100,89,73,31,13.6,4,1019.3,1015.8,1012.3
2019,Oct,29,28,22.9,18,18,15.5,11,100,66.6,35,20,7.8,0,1019.3,1016.8,1013.3
2019,Oct,30,29,22.3,17,17,14.4,11,88,64.9,33,17,7.1,0,1019.3,1016.1,1013.3
2019,Oct,31,27,22,17,18,14.3,10,94,64.3,34,19,7.4,0,1017.3,1015.6,1014.3
2019,Nov,1,20,19.4,18,19,18.5,17,100,94.7,83,15,9.3,2,1018.3,1015.7,1014.3
2019,Nov,2,24,21.7,20,21,20.3,19,100,91.3,83,17,12.7,7,1015.5,1013.9,1011.6
2019,Nov,3,28,23.9,21,22,21,19,100,84.3,66,13,8.4,4,1015.5,1013.9,1012.6
2019,Nov,4,29,24.6,22,20,18.2,16,88,68.5,48,19,9.9,2,1017.5,1014.5,1011.6
2019,Nov,5,28,23.5,20,18,14.8,11,83,60.6,35,19,8,2,1015.5,1012.5,1009.6
2019,Nov,6,28,23.3,18,19,17,16,94,69.4,48,13,7.5,4,1012.6,1010.2,1007.6
2019,Nov,7,28,24.5,22,20,17.5,15,83,66.2,45,24,9.5,2,1016.5,1013.8,1011.6
2019,Nov,8,27,23.4,20,19,15.3,13,83,61.6,42,17,8.6,2,1019.5,1016.7,1014.5
2019,Nov,9,27,21.9,17,17,15,11,94,67.6,37,13,6.9,0,1019.5,1016.2,1013.6
2019,Nov,10,28,21.8,17,18,15.8,13,94,71.4,42,15,7.3,2,1018.5,1014.9,1011.6
2019,Nov,11,29,22.4,17,18,16.6,13,100,73,39,7,4.7,0,1014.5,1012,1009.6
2019,Nov,12,28,23.4,18,22,18.4,16,89,74.2,54,15,8.1,2,1014.5,1012.1,1009.6
2019,Nov,13,28,24.1,21,23,21.7,18,100,86.5,70,28,8.9,0,1020.5,1016.2,1012.6
2019,Nov,14,24,21.5,20,18,16.8,15,88,75.1,61,22,9.8,0,1023.5,1019.1,1015.5
2019,Nov,15,27,22.7,18,20,17.8,16,94,74.6,58,17,10.2,6,1016.5,1013.9,1010.6
2019,Nov,16,28,24.8,22,22,20.7,20,94,79,62,24,15.4,7,1013.6,1010.5,1007.6
2019,Nov,17,30,26.2,23,23,22.2,21,94,79.7,58,19,12.7,9,1011.6,1009.2,1006.6
2019,Nov,18,30,25.1,20,23,20.5,14,94,76.2,61,26,14.5,7,1017.5,1014,1011.6
2019,Nov,19,22,19.1,17,15,13.4,12,88,70.5,56,17,10.4,4,1020.5,1018,1016.5
2019,Nov,20,24,20.5,17,17,14.9,13,88,70.8,57,11,6.9,2,1021.5,1017.6,1015.5
2019,Nov,21,25,20.5,18,17,16.2,15,94,77.2,57,9,5.4,0,1020.5,1017.3,1015.5
2019,Nov,22,27,22.5,19,19,17,15,88,72.3,48,15,8.6,0,1018.5,1015.2,1012.6
2019,Nov,23,27,23.6,20,21,19.1,18,94,76.4,58,19,11.8,7,1015.5,1013.5,1011.6
