Replication,Spacing,Flower_Truss_Treatment,Fruit_Number,Fruit_Weight,Individual_Fruit_Yield,Yield,Marketable_Fruit_Number,Marketable_Fruit_Weight,Individual_Marketable_Fruit_Yield,Marketable_Yield,Marketable_Fruit_Number_2Ws,Marketable_Fruit_Weight_2Ws,Individual_Marketable_Fruit_Yield_2Ws,Marketable_Yield_2Ws
1,S1,T1,11.4,96.29,1093.03,72.91,10.6,98.77,1062.87,70.89,7.4,100.84,751.28,50.11
2,S1,T1,12.2,92.33,1121.62,74.81,11.6,93.80,1087.95,72.57,10.4,95.39,1008.00,67.23
1,S1,T2,14.8,87.13,1286.40,85.80,13.8,89.49,1235.79,82.43,8.6,92.51,783.99,52.29
2,S1,T2,14,87.15,1217.49,81.21,13.7,87.72,1198.55,79.94,9.7,88.77,858.02,57.23
1,S1,T3,23,83.41,1911.10,127.47,19.8,88.31,1737.73,115.91,12.6,92.64,1165.11,77.71
2,S1,T3,20.5,82.15,1684.27,112.34,19,84.62,1608.03,107.26,10,91.03,906.11,60.44
1,S2,T1,11,80.79,894.06,51.05,9.8,84.61,835.06,47.68,7,87.84,623.80,35.62
2,S2,T1,11.4,85.47,969.75,55.37,10.8,86.71,937.47,53.53,8.4,88.86,744.87,42.53
1,S2,T2,15.8,89.57,1413.47,80.71,14.8,91.71,1359.44,77.62,9.4,96.40,915.85,52.29
2,S2,T2,16.4,92.30,1510.89,86.27,16,93.03,1487.90,84.96,9.2,100.28,904.97,51.67
1,S2,T3,20.5,89.45,1836.68,104.87,19.5,90.85,1780.25,101.65,14.25,94.10,1374.77,78.50
2,S2,T3,19.8,85.34,1688.57,96.42,19.4,86.00,1666.93,95.18,10.2,88.41,901.50,51.48
1,S3,T1,11.2,101.98,1135.26,56.76,11,102.50,1124.49,56.22,9.4,105.51,990.87,49.54
2,S3,T1,12.2,96.89,1180.61,59.03,12,97.51,1170.96,58.55,9.2,101.22,933.05,46.65
1,S3,T2,15.8,82.53,1297.69,64.88,13.8,87.46,1194.65,59.73,9.4,95.34,892.40,44.62
2,S3,T2,17.2,86.81,1490.26,74.51,15.6,90.51,1401.79,70.09,11.6,95.12,1116.35,55.82
1,S3,T3,21.4,78.25,1678.91,83.95,18.8,81.57,1536.69,76.83,13.2,86.35,1146.22,57.31
2,S3,T3,18.4,89.28,1646.71,82.34,17.4,91.66,1598.60,79.93,12.4,93.28,1200.16,60.01
1,S4,T1,12.6,104.45,1319.06,52.76,12.4,105.01,1308.59,52.34,9.6,110.65,1083.16,43.33
2,S4,T1,12.2,105.60,1286.43,51.46,12,106.71,1275.78,51.03,9.2,110.23,1018.74,40.75
1,S4,T2,14.6,80.92,1177.40,47.10,12.6,86.01,1079.93,43.20,8.2,91.56,768.99,30.76
2,S4,T2,14,92.99,1295.02,51.80,13.2,94.94,1250.30,50.01,7.4,96.77,744.72,29.79
1,S4,T3,22.6,74.40,1675.14,67.01,16.8,80.76,1366.83,54.67,11.6,84.22,1127.25,45.09
2,S4,T3,21,76.75,1613.18,64.53,18.4,79.99,1473.42,58.94,13.2,82.56,1118.10,44.72
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
